"age_group","sex","patient_type","comorbidity","day_1","day_2","day_3","day_4","day_5","day_6","day_7","day_8","day_9","day_10","day_11","day_12","day_13","day_14","day_15","day_16","day_17","day_18","day_19","day_20","day_21","day_22","day_23","day_24","day_25","day_26","day_27","day_28","day_29","day_30"
"[ 30 , 34 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 30 , 34 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999993376234959
"[ 30 , 34 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999889363321423
"[ 30 , 34 ]","F","H","0",0.998007025354144,0.996008282254611,0.994505404913926,0.99149310803333,0.988971916182097,0.987453281875704,0.984401467135047,0.9808121760732,0.979260870658788,0.979260870658788,0.978221292424903,0.977700326786667,0.976655899694021,0.975609323394611,0.974035048345304,0.974035048345304,0.973509982544905,0.972440140583181,0.971904615080098,0.971369005580843,0.97029738113569,0.969761212608143,0.9686858127381,0.9686858127381,0.968147747539345,0.967609597216678,0.967071202696919,0.967071202696919,0.965993759378365,0.96437407002031
"[ 30 , 34 ]","F","H","1",0.968369809536931,0.939628582809157,0.919700981726569,0.883421442913825,0.856210223391104,0.840991907172224,0.812689876711116,0.782704363487321,0.770686221025098,0.770686221025098,0.762916358388277,0.759103772833171,0.751616440233577,0.744313781753446,0.733684497539933,0.733684497539933,0.730229669359886,0.723323464138963,0.719931411153325,0.71658080383781,0.709999182199922,0.706765443683735,0.70039417333814,0.70039417333814,0.697262119503163,0.694165670426524,0.691103159430951,0.691103159430951,0.685077558533361,0.676267500840124
"[ 30 , 34 ]","M","H","0",0.99673674429933,0.995640684206179,0.990095735836488,0.986752369618953,0.9850793562217,0.982839489602176,0.981709227254782,0.981137184240206,0.979990908050173,0.97768310575063,0.97652343586662,0.975357342496014,0.973605604112797,0.973021169991885,0.971851077477474,0.969501617624245,0.967727208379245,0.967132859962491,0.967132859962491,0.965941071535149,0.964746825288777,0.961754772383461,0.960553954592462,0.960553954592462,0.95995172026959,0.958740347390846,0.958134056220726,0.957526124511911,0.956917374729671,0.950151072367058
"[ 30 , 34 ]","M","H","1",0.949789255668724,0.934629413143653,0.868021148456753,0.834235080694649,0.818734394050295,0.799241418264696,0.78990027632471,0.785289924013973,0.776276724398543,0.758978644291329,0.750681295496271,0.74258433148776,0.730855578685887,0.727052392727707,0.71959462451114,0.705213601099564,0.694839347444138,0.691452112057645,0.691452112057645,0.68478635211434,0.678269442950502,0.662609407279191,0.656575361733308,0.656575361733308,0.653600206636049,0.647715459522042,0.644818765007513,0.641945906043836,0.639100315506504,0.609397300408642
"[ 35 , 39 ]","F","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 35 , 39 ]","F","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 35 , 39 ]","M","A","0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99999149103323
"[ 35 , 39 ]","M","A","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999857881941737
"[ 35 , 39 ]","F","H","0",0.997440525280582,0.994875103043805,0.992947097982651,0.989085192146448,0.985855471680922,0.983911186934291,0.980006568188931,0.975418687330409,0.973437265010614,0.973437265010614,0.972109951755476,0.971444943930696,0.970112046175894,0.968776812479308,0.966769102641467,0.966769102641467,0.966099679214235,0.964736020998798,0.964053581662041,0.963371142325303,0.962006068572584,0.961323238827193,0.959954002634034,0.959954002634034,0.959269081808514,0.958584160983014,0.957899037842729,0.957899037842729,0.95652828499674,0.954468490640769
"[ 35 , 39 ]","F","H","1",0.959942600806987,0.924480148150647,0.900369868055462,0.857378766328309,0.82581892212776,0.808398310214603,0.776397898373999,0.743004358287013,0.729754646125973,0.729754646125973,0.72122701143917,0.717053333914024,0.708877000686499,0.700927504471758,0.689399943419436,0.689399943419436,0.685663939932266,0.678211204817363,0.67455820466921,0.670954618777984,0.663889734838509,0.660425114107026,0.653611418958344,0.653611418958344,0.650267875380846,0.646966190451925,0.643704430787661,0.643704430787661,0.637297552608729,0.627955356429635
"[ 35 , 39 ]","M","H","0",0.995809927468609,0.99440344383739,0.987294828397337,0.983014106395566,0.98087359044344,0.978009441007693,0.976564863231184,0.975833920743289,0.974369602296375,0.971422963158915,0.969943024830436,0.968455393314435,0.966221582602753,0.965476568583954,0.963985362660026,0.960992673955272,0.958733839149454,0.957977493055549,0.957977493055549,0.956461265237329,0.954942444501709,0.951139556226998,0.949614267254527,0.949614267254527,0.948849508367497,0.94731163672166,0.946542140771484,0.945770701808893,0.944998364414809,0.936423201662171
