"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv","rrr_pxlvd","rrr_rmsvr","cost_A_pxlvd_drugs","prob_AH_pxlvd","prob_AH_syntc",".strategy_names",".index",".cost",".effect"
12858713.5205175,7566844.89761419,20425558.4181316,155.141432393375,115179,0.873562316628892,0.899332973882701,108.456634211639,0.009,0.063,"strategy",14,20425558.4181316,155.141432393375
13113143.5632079,6871225.8809358,19984369.4441437,74.777447089564,115179,0.92200148191691,0.86566981231389,110.495699724135,0.005,0.055,"strategy",15,19984369.4441437,74.777447089564
11423438.4304007,7567128.73838995,18990567.1687907,155.016251405714,115179,0.873694363154488,0.752278287680668,95.9166725468198,0.009,0.072,"strategy",16,18990567.1687907,155.016251405714
13943703.199623,6856481.78866154,20800184.9882845,81.1229625856308,115179,0.914006113534542,0.898555721377999,117.700945270148,0.005,0.057,"strategy",17,20800184.9882845,81.1229625856308
11836620.9354801,7049194.20309393,18885815.138574,192.145461068922,115179,0.79074192975815,1.34065034251527,99.5179506624806,0.007,0.059,"strategy",18,18885815.138574,192.145461068922
14530572.0449025,7271687.54169815,21802259.5866007,0,115179,1.00417503819168,0.826516661594756,122.814855199504,0.006,0.054,"strategy",19,21802259.5866007,0
13180163.7778911,7048955.58760693,20229119.3654981,0,115179,1.03696816338196,0.906831212650431,111.046023420081,0.005,0.063,"strategy",20,20229119.3654981,0
10866554.1718203,8313261.2340084,19179815.4058287,204.016810261194,115179,0.869153606043892,1.15994425588909,91.0832144857957,0.013,0.05,"strategy",21,19179815.4058287,204.016810261194
13096143.0137661,6979810.0298128,20075953.0435789,124.223201321354,115179,0.870213686028856,0.711636291678202,110.407459994472,0.006,0.052,"strategy",22,20075953.0435789,124.223201321354
12588182.4137627,7092780.43981392,19680962.8535766,75.1551644993217,115179,0.930033898950096,0.781738472877246,105.970314275271,0.006,0.072,"strategy",23,19680962.8535766,75.1551644993217
13756571.7975242,6414796.03597961,20171367.8335038,78.0900982049932,115179,0.890986185710383,0.825897256228961,115.987843166511,0.003,0.055,"strategy",24,20171367.8335038,78.0900982049932
12892713.6157585,7243613.54486684,20136327.1606253,105.343446842512,115179,0.905666682266901,0.660787266780057,108.662494329457,0.007,0.063,"strategy",25,20136327.1606253,105.343446842512
13636423.7672807,7712958.65970957,21349382.4269903,0,115179,1.02206672852368,0.915721745108021,115.136796570192,0.008,0.064,"strategy",26,21349382.4269903,0
11160994.7280184,6781922.91676365,17942917.6447821,113.66681097157,115179,0.868793230564771,0.915935795005244,93.586717547601,0.005,0.073,"strategy",27,17942917.6447821,113.66681097157
12888042.0239425,6347048.47522736,19235090.4991699,10.427989095634,115179,0.986352808874788,0.719801518215981,108.425245196402,0.002,0.07,"strategy",28,19235090.4991699,10.427989095634
12040306.759363,7873660.48857056,19913967.2479336,115.875040159214,115179,0.919159813502696,0.845069735552415,101.306828555982,0.01,0.059,"strategy",29,19913967.2479336,115.875040159214
12741705.0646023,6546788.7215294,19288493.7861317,119.096848130565,115179,0.838658155856552,0.820422671616324,107.269299276574,0.004,0.051,"strategy",30,19288493.7861317,119.096848130565
12158018.0577022,6975722.43988857,19133740.4975908,126.030420015425,115179,0.867745868496312,0.58798438237071,102.258090031454,0.006,0.066,"strategy",31,19133740.4975908,126.030420015425
13842291.051247,7339684.54788214,21181975.5991291,159.402060272589,115179,0.855627034589687,0.775229990950707,117.003812837085,0.008,0.062,"strategy",32,21181975.5991291,159.402060272589
13582175.7908525,7428628.17417312,21010803.9650257,120.272918758894,115179,0.89940571282196,0.854589028984438,114.715093037309,0.008,0.063,"strategy",33,21010803.9650257,120.272918758894
13530951.1058047,7245855.72901255,20776806.8348172,104.372171193506,115179,0.906730710894135,1.0421846945265,114.217379018738,0.007,0.053,"strategy",34,20776806.8348172,104.372171193506
12719994.7191501,6770577.47299177,19490572.1921418,118.693908001653,115179,0.861126038871557,1.45848069571686,107.108413583743,0.005,0.058,"strategy",35,19490572.1921418,118.693908001653
12401065.4800317,7930234.66761201,20331300.1476437,185.099867113518,115179,0.866033314397623,0.550089064499159,104.526203211121,0.011,0.078,"strategy",36,20331300.1476437,185.099867113518
12568964.9637664,6996862.19070432,19565827.1544707,116.710475488316,115179,0.880256379828719,0.844733161604687,105.823471893209,0.006,0.065,"strategy",37,19565827.1544707,116.710475488316
12230935.3371393,7271687.54169815,19502622.8788374,0,115179,1.00526215978973,0.668115815622068,102.835861589847,0.006,0.053,"strategy",38,19502622.8788374,0
13281500.6962935,7435405.96319655,20716906.6594901,117.328365867949,115179,0.902441337171561,0.96811359543808,112.09158896767,0.008,0.054,"strategy",39,20716906.6594901,117.328365867949
13357570.8423642,7853008.54299145,21210579.3853556,124.778543896338,115179,0.911624130073066,0.809795660011782,112.841500368046,0.01,0.064,"strategy",40,21210579.3853556,124.778543896338
