"exec","age_group","sex","comorbidity","covid","binary_patient_type","death","count","obesity","diabetes","hyperten","ckd","cardio","copd","asthma","immuno","hiv"
13,"[ 18 , 24 ]","F",1,1,"A",4,9569,4941,571,614,188,294,140,3370,249,76
13,"[ 18 , 24 ]","F",0,0,"H",0,2488,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","F",1,0,"H",0,414,114,108,83,67,68,8,79,94,11
13,"[ 18 , 24 ]","F",0,1,"H",0,862,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","F",1,1,"H",0,158,64,49,30,21,23,5,28,44,8
14,"[ 18 , 24 ]","F",0,0,"A",15,241525,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","F",1,0,"A",8,14431,6267,955,1069,408,604,215,5366,480,136
14,"[ 18 , 24 ]","F",0,1,"A",8,127032,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","F",1,1,"A",7,9573,4834,587,630,180,346,150,3378,242,81
14,"[ 18 , 24 ]","F",0,0,"H",0,2474,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","F",1,0,"H",0,369,110,90,75,61,49,4,76,81,11
14,"[ 18 , 24 ]","F",0,1,"H",0,924,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","F",1,1,"H",0,164,66,54,38,19,23,6,34,33,8
15,"[ 18 , 24 ]","F",0,0,"A",12,240836,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","F",1,0,"A",3,14373,6248,991,1136,366,607,214,5268,514,138
15,"[ 18 , 24 ]","F",0,1,"A",8,127709,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","F",1,1,"A",10,9638,4864,563,666,188,315,162,3396,262,81
15,"[ 18 , 24 ]","F",0,0,"H",0,2470,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","F",1,0,"H",0,412,123,105,87,68,47,7,65,107,13
15,"[ 18 , 24 ]","F",0,1,"H",0,905,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","F",1,1,"H",0,149,56,44,46,26,22,4,31,29,7
16,"[ 18 , 24 ]","F",0,0,"A",22,241676,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","F",1,0,"A",11,14107,6091,1007,1066,420,590,178,5225,474,142
16,"[ 18 , 24 ]","F",0,1,"A",17,127081,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","F",1,1,"A",5,9688,4929,635,644,183,334,157,3364,273,80
16,"[ 18 , 24 ]","F",0,0,"H",0,2532,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","F",1,0,"H",0,379,98,92,64,67,51,11,88,104,12
16,"[ 18 , 24 ]","F",0,1,"H",0,840,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","F",1,1,"H",0,189,74,52,43,30,27,8,39,36,9
17,"[ 18 , 24 ]","F",0,0,"A",22,240906,0,0,0,0,0,0,0,0,0
17,"[ 18 , 24 ]","F",1,0,"A",9,14269,6215,1002,1138,360,585,208,5285,506,119
17,"[ 18 , 24 ]","F",0,1,"A",12,127817,0,0,0,0,0,0,0,0,0
17,"[ 18 , 24 ]","F",1,1,"A",1,9570,4867,591,625,187,311,143,3342,285,86
17,"[ 18 , 24 ]","F",0,0,"H",0,2469,0,0,0,0,0,0,0,0,0
17,"[ 18 , 24 ]","F",1,0,"H",0,372,106,99,90,69,53,9,74,90,13
17,"[ 18 , 24 ]","F",0,1,"H",0,927,0,0,0,0,0,0,0,0,0
17,"[ 18 , 24 ]","F",1,1,"H",0,162,56,41,33,25,31,4,34,46,5
18,"[ 18 , 24 ]","F",0,0,"A",23,241372,0,0,0,0,0,0,0,0,0
18,"[ 18 , 24 ]","F",1,0,"A",8,14254,6203,1012,1101,367,599,189,5226,497,121
18,"[ 18 , 24 ]","F",0,1,"A",12,127395,0,0,0,0,0,0,0,0,0
18,"[ 18 , 24 ]","F",1,1,"A",10,9442,4740,595,616,204,313,143,3365,234,65
18,"[ 18 , 24 ]","F",0,0,"H",0,2565,0,0,0,0,0,0,0,0,0
