"age_group","sex","patient_type","comorbidity","day_1","day_2","day_3","day_4","day_5","day_6","day_7","day_8","day_9","day_10","day_11","day_12","day_13","day_14","day_15","day_16","day_17","day_18","day_19","day_20","day_21","day_22","day_23","day_24","day_25","day_26","day_27","day_28","day_29","day_30"
"[ 30 , 34 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 30 , 34 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998675246992
"[ 30 , 34 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999977872664285
"[ 30 , 34 ]","F","H",0,0.999601405070829,0.999201656450922,0.998901080982785,0.998298621606666,0.99779438323642,0.997490656375141,0.996880293427009,0.99616243521464,0.995852174131758,0.995852174131758,0.995644258484981,0.995540065357333,0.995331179938804,0.995121864678922,0.994807009669061,0.994807009669061,0.994701996508981,0.994488028116636,0.99438092301602,0.994273801116169,0.994059476227138,0.993952242521629,0.99373716254762,0.99373716254762,0.993629549507869,0.993521919443336,0.993414240539384,0.993414240539384,0.993198751875673,0.992874814004062
"[ 30 , 34 ]","F","H",1,0.993673961907386,0.987925716561831,0.983940196345314,0.976684288582765,0.971242044678221,0.968198381434445,0.962537975342223,0.956540872697464,0.95413724420502,0.95413724420502,0.952583271677655,0.951820754566634,0.950323288046715,0.948862756350689,0.946736899507987,0.946736899507987,0.946045933871977,0.944664692827793,0.943986282230665,0.943316160767562,0.941999836439984,0.941353088736747,0.940078834667628,0.940078834667628,0.939452423900633,0.938833134085305,0.93822063188619,0.93822063188619,0.937015511706672,0.935253500168025
"[ 30 , 34 ]","M","H",0,0.999347348859866,0.999128136841236,0.998019147167298,0.997350473923791,0.99701587124434,0.996567897920435,0.996341845450956,0.996227436848041,0.995998181610035,0.995536621150126,0.995304687173324,0.995071468499203,0.994721120822559,0.994604233998377,0.994370215495495,0.993900323524849,0.993545441675849,0.993426571992498,0.993426571992498,0.99318821430703,0.992949365057755,0.992350954476692,0.992110790918492,0.992110790918492,0.991990344053918,0.991748069478169,0.991626811244145,0.991505224902382,0.991383474945934,0.990030214473412
"[ 30 , 34 ]","M","H",1,0.989957851133745,0.986925882628731,0.973604229691351,0.96684701613893,0.963746878810059,0.959848283652939,0.957980055264942,0.957057984802795,0.955255344879709,0.951795728858266,0.950136259099254,0.948516866297552,0.946171115737177,0.945410478545541,0.943918924902228,0.941042720219913,0.938967869488828,0.938290422411529,0.938290422411529,0.936957270422868,0.9356538885901,0.932521881455838,0.931315072346662,0.931315072346662,0.93072004132721,0.929543091904408,0.928963753001503,0.928389181208767,0.927820063101301,0.921879460081728
"[ 35 , 39 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 35 , 39 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 35 , 39 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998298206646
"[ 35 , 39 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999971576388347
"[ 35 , 39 ]","F","H",0,0.999488105056116,0.998975020608761,0.99858941959653,0.99781703842929,0.997171094336184,0.996782237386858,0.996001313637786,0.995083737466082,0.994687453002123,0.994687453002123,0.994421990351095,0.994288988786139,0.994022409235179,0.993755362495862,0.993353820528293,0.993353820528293,0.993219935842847,0.99294720419976,0.992810716332408,0.992674228465061,0.992401213714517,0.992264647765439,0.991990800526807,0.991990800526807,0.991853816361703,0.991716832196603,0.991579807568546,0.991579807568546,0.991305656999348,0.990893698128154
"[ 35 , 39 ]","F","H",1,0.991988520161397,0.98489602963013,0.980073973611092,0.971475753265662,0.965163784425552,0.961679662042921,0.9552795796748,0.948600871657403,0.945950929225195,0.945950929225195,0.944245402287834,0.943410666782805,0.9417754001373,0.940185500894352,0.937879988683887,0.937879988683887,0.937132787986453,0.935642240963473,0.934911640933842,0.934190923755597,0.932777946967702,0.932085022821405,0.930722283791669,0.930722283791669,0.930053575076169,0.929393238090385,0.928740886157532,0.928740886157532,0.927459510521746,0.925591071285927
"[ 35 , 39 ]","M","H",0,0.999161985493722,0.998880688767478,0.997458965679467,0.996602821279113,0.996174718088688,0.995601888201539,0.995312972646237,0.995166784148658,0.994873920459275,0.994284592631783,0.993988604966087,0.993691078662887,0.993244316520551,0.993095313716791,0.992797072532005,0.992198534791054,0.991746767829891,0.99159549861111,0.99159549861111,0.991292253047466,0.990988488900342,0.9902279112454,0.989922853450905,0.989922853450905,0.989769901673499,0.989462327344332,0.989308428154297,0.989154140361779,0.988999672882962,0.987284640332434
"[ 35 , 39 ]","M","H",1,0.987384127761405,0.983679285012251,0.967890037506019,0.960142599293953,0.956638217606521,0.952271913754004,0.950194682728539,0.949172915855059,0.947181781867856,0.943383294516826,0.941571530026528,0.939809688430648,0.937268080452572,0.936446533937388,0.934839155166405,0.931752798537103,0.929536839021751,0.92881517993248,0.92881517993248,0.927397655679781,0.926015120210977,0.922706122737759,0.921436008025508,0.921436008025508,0.920810750230034,0.919575916775243,0.918969007906814,0.918367690608442,0.917772664979473,0.911595770110595
"[ 40 , 44 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 40 , 44 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 40 , 44 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997594886365
"[ 40 , 44 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999959833182152
"[ 40 , 44 ]","F","H",0,0.999276929724759,0.998552948320779,0.998009358306876,0.996921827978361,0.996013670207735,0.995467553549149,0.994372159474944,0.993087387591734,0.992533289040303,0.992533289040303,0.992162370607442,0.991976612469127,0.991604449358192,0.991231845844605,0.990671984003509,0.990671984003509,0.990485418039388,0.990105536539377,0.989915509077699,0.989725537201931,0.989345706035725,0.989155792504939,0.988775138645907,0.988775138645907,0.988584811716416,0.988394540941493,0.988204270166587,0.988204270166587,0.987823756766867,0.987252392953058
"[ 40 , 44 ]","F","H",1,0.988967035651916,0.979637820555728,0.973499290359352,0.962905555690376,0.955375295530396,0.951296277953108,0.943931147585077,0.936403183838591,0.933456806523001,0.933456806523001,0.931571948109879,0.930652628140661,0.928857606880725,0.927119798350052,0.924612481023565,0.924612481023565,0.923803036227101,0.922192862020447,0.921405810915058,0.920630799984774,0.919115357783491,0.918374092389257,0.916919905899981,0.916919905899981,0.916208065536639,0.915506253811529,0.914814012462617,0.914814012462617,0.913457398414712,0.911486573749586
"[ 40 , 44 ]","M","H",0,0.998816673546269,0.998419926440639,0.996418248016597,0.995215729090523,0.994615236680571,0.993812585717133,0.993408124593974,0.99320356531665,0.992793956239432,0.991970473427488,0.991557271398931,0.991142183929096,0.990519388109208,0.990311807292656,0.989896516329459,0.989063873443167,0.988436116689643,0.988226055711719,0.988226055711719,0.987805158228148,0.987383817335069,0.986330061048786,0.985907901741888,0.985907901741888,0.985696342305969,0.985271125796117,0.985058469702567,0.984845348350007,0.984632050750168,0.982268682619766
"[ 40 , 44 ]","M","H",1,0.982867669717423,0.978074236827978,0.958604477919555,0.949512887838398,0.945481625634015,0.940522258809665,0.938186052034186,0.937042136772123,0.934822612985579,0.930622517233392,0.928634365434329,0.926710075082456,0.923949485599704,0.92306095806269,0.921327802147054,0.918019132613259,0.915658779972771,0.914892794916813,0.914892794916813,0.9133920155138,0.911933102430395,0.908460354667847,0.907134429359419,0.907134429359419,0.90648311621611,0.905199559462626,0.904570027734996,0.9039471528044,0.903331631878081,0.89699054636342
"[ 45 , 49 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 45 , 49 ]","F","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"[ 45 , 49 ]","M","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998521830384
"[ 45 , 49 ]","M","A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997530690422
"[ 45 , 49 ]","F","H",0,0.999569713085678,0.99913869221827,0.998211730528884,0.997092493903162,0.996029156921523,0.99394915547914,0.992996074642439,0.991909366027363,0.991009434261928,0.989910840536339,0.989131989490295,0.988155039187609,0.987501798657077,0.986649722833201,0.98632085802522,0.98585932974416,0.985330167499468,0.984931972108855,0.984466061737759,0.984065888500043,0.983865545074814,0.98373183270996,0.983531090176723,0.983196211442763,0.982793612675164,0.982322898993514,0.982120862247691,0.981918662088425,0.981716280574739,0.980565113153888
"[ 45 , 49 ]","F","H",1,0.999281947361836,0.998564176733595,0.997025625201655,0.995177193605383,0.993430427834498,0.990039780390298,0.988497686768654,0.986748193133254,0.985306476320663,0.983555169281239,0.982319334047957,0.98077590167957,0.979748052074508,0.978412352966166,0.977898344438758,0.977178405578533,0.976355001905781,0.975736822535776,0.975015079081448,0.974396510607532,0.974087294512715,0.973881091354613,0.973571777513086,0.973056472105401,0.972438104666141,0.971716699208117,0.971407584737647,0.971098534234679,0.97078952088085,0.969037792352146
"[ 45 , 49 ]","M","H",0,0.999206780619063,0.998516321798481,0.997074179424244,0.996107794590866,0.995083791248393,0.993891942458705,0.99263823850072,0.991376452066117,0.990162827066229,0.989331648016438,0.988552207758945,0.987432841973223,0.986363576856596,0.985174508301726,0.984148790395553,0.983116514523342,0.98207839088116,0.981325265361842,0.980627876952299,0.979577565099421,0.979109064748028,0.978521695427688,0.977873330633529,0.977282416515288,0.9768085122372,0.976392802378092,0.975976217585028,0.975737803848871,0.975558762170511,0.972793196187771
"[ 45 , 49 ]","M","H",1,0.99867746280055,0.997530412259176,0.995147031040844,0.993559296396143,0.991885078795751,0.98994700503369,0.987920570602094,0.985893675773499,0.983956028830798,0.98263568588631,0.981402464545571,0.979639746000917,0.977965065439958,0.976113202003828,0.97452455464396,0.972933963298838,0.97134264381357,0.97019337552206,0.969133038393514,0.967543118264049,0.966836634465997,0.965953259663123,0.964981193611271,0.964098036914315,0.963391667915453,0.962773436709645,0.962155212474828,0.961801987912119,0.961537008124609,0.957474561412397
"[ 50 , 54 ]","F","A",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
